ID,target
000137c73,1989740.48001183
00021489f,1311884.94735003
0004d7953,1343202.7018328
00056a333,4256826.16722534
00056d8eb,2141656.35267199
0005fc190,2054931.43165658
000787e86,1493815.77730473
0008510a0,2333339.37541359
000895faf,1977424.5423135
000986fba,2029364.02966045
0009efcc5,1763538.11830947
000dd8f00,8530985.97776435
000e1cdc2,1508968.35483948
00103739c,1320268.7997374
00134b367,1884569.06288306
001788d0d,2164085.90125394
0019c8ad7,1935157.14037215
001a267b9,896746.340492264
001a85486,1531111.47620692
001c4de06,1993827.7884834
001f9014b,2285503.52873208
00216fb94,2832682.34157433
00235690e,2363657.59353549
00240739d,4411511.52690614
0024c3747,1427944.79975815
00297052d,2066386.53274245
002ab8f85,1247780.31315969
002bed5c0,1207231.51521037
002bf3974,2406704.75528853
002d23a26,1237631.66303186
002f27de9,1458020.74104464
0030d8bb4,2565764.02503518
003146acd,1422057.24633119
003223263,1381316.76788196
00335575e,3059822.07725882
00337cf9d,3183020.44991044
003394397,1435643.11455261
0036358a3,2048065.93766122
003770d30,2542454.79289903
003bed5ea,1336553.20339532
003ea6427,2208672.24190566
003ef8132,3517418.09798778
003fd1723,2575999.19957113
0041861b4,626498.568725252
0042b718b,1958053.6892613
004381d8f,2343545.22274096
0043ca764,1946976.80207644
004486837,653303.202401383
0045c123e,2095659.90006338
0048915c6,2657064.3561758
004ab9a09,2734047.42175789
004b2e1c9,3805550.75843156
004c54732,1387990.84124393
004cdefce,3397401.50895855
004dd971b,4164108.05386104
004f9329b,1441560.00829034
004fd2bca,1390448.10843693
0054bfedb,1655306.74103546
0054ec58a,361560.946983249
00551f45d,13107829.6797875
005777b4c,2525075.89841181
00578d6ea,2158248.63900029
005802488,1481921.46398893
0059833b6,1866497.15513849
005a70085,1562660.17621454
005b148a0,2235698.32106167
005c28df4,3124039.41986712
005f8dc26,2232048.70325109
00603c202,3719630.32947557
006049609,2370081.63739701
00612f47e,624581.661314864
00647a57f,4222667.48061407
0065853ee,1094871.08793793
006589d5e,1007780.70572324
006598823,6909824.0029429
0065c093c,2002458.49351285
006738351,1969405.49241077
006a0c6a8,1835750.84124096
006e9efe6,2355577.01442423
006f029d3,1411620.56583516
0070f35a2,2659367.13987078
007135f85,3437134.9375831
007285433,9056763.51648314
00735e101,1842402.17796503
0074ecf4e,2223702.56771217
007635fa9,1316936.03187861
007723613,2972752.07054413
007867da9,823898.054308257
0078bfbd6,553598.301845934
0078ce229,670755.343855577
007a89d50,1884569.06288306
007d43dfa,2411325.56692359
007ee9e05,2039084.1770326
007ffeae2,1990426.5792659
00835c85c,1847168.17206851
0084b08f1,1900056.01088607
0087fb290,771693.579711227
0088a96bd,1644970.54573729
008ac4292,2092303.20722873
008d8cca8,2514858.04862707
008e07b8c,2468664.5330826
008e5e25a,3579629.93865232
0094edcdb,2412625.85737005
00950141c,2314475.83765538
009566ef1,2898137.27457348
0095c81d4,1852869.87094396
0097a6ed4,2369683.5263564
0098fef9a,1358638.77395743
009b321ec,4373666.6216966
009cd681e,2875392.71435432
009f34f86,2141656.35267199
009f35cd3,1142556.37362026
009f65109,2362905.10587018
00a19014a,1030966.81062575
00a27e76a,1113531.40959406
00a3b6ef7,1844517.30236617
00a427603,1720869.90120834
00a6dc8be,2265280.03661362
00a811734,10593538.819216
00a8f58a7,6461079.00188189
00aaae151,2294232.75266538
00ab17f67,2230539.58422111
00ac2d3a5,1435750.30539893
00adab1b6,1089379.18133977
00aef0d56,781777.229680361
00b0b06c4,1228021.2020734
00b0e2303,1736492.40266019
00b1fbbc9,787625.54225432
00b43e0c1,2973793.45563782
00b7190a8,3019821.54035472
00b722e1b,2059810.67145988
00bba815f,2461730.01198934
00bbb1c42,2254055.91648414
00bc2b665,1964591.56112439
00bc35689,2239732.58092604
00be23f52,2561932.81167524
00be24ac5,2179032.90864709
00bfd0f70,1311884.94735003
00c02f73e,3098531.82443694
00c08e5b3,1560547.81778864
00c8690ff,2501315.01558055
00c8df4d5,3457900.65369894
00c8e30de,2265280.03661362
00ca3fb04,1593089.5706002
00cabf621,1454161.41357976
00cb48ae3,1046432.16256418
00cb6b147,1669362.3285765
00cc91a22,3476271.8251709
00cd65e9d,2096037.28949984
00cd7d6a8,1271828.13089873
00cdc1483,1442085.58492256
00ce9bea5,1951016.96595817
00cea0091,2630440.73514923
00cea68c6,1987024.62703959
00d5a5975,2339496.06769674
00d80a3a4,14564600.5139564
00d9f3864,704387.368274403
00da4bd31,2384767.21490477
00df4dd77,3437134.9375831
00e1a55bf,1336553.20339532
00e332971,1909548.83044787
00e5b6b1b,1830702.72359203
00e85d5e3,2099319.29758623
00e90abfa,1233913.95737731
00e9708b4,1751022.0169414
00e9c680f,7402241.48849056
00eaa4394,2239705.5306187
00eae8832,2287424.01720176
00ebefdc0,1621727.33061365
00ecbcb1b,1983628.48928202
00ed49382,3174793.79848282
00ed87564,4537846.12756585
00ef96cfd,173645.671050659
00efe7ca3,2455704.575333
00f36aa18,1147885.24894209
00f3fb071,2249094.34089581
00f43f548,1261681.97008428
00f4d58ec,1127267.12129153
00f56e106,2976972.0972855
00f84d8c2,2442721.46460624
00f92953b,1311884.94735003
00fa1d469,6455441.73627039
00ff96f49,1918170.60954391
0100ce0d8,2952869.54439754
0102ea9e1,1533818.75256785
0104b3af3,2753254.50124913
010672441,684282.50705768
010771ca5,3730870.10775218
0108aea9f,1321926.7337465
010a479e1,2531418.85140817
010d0a2dd,2994464.49460567
010e3cea2,2328619.99242449
010e5417b,2994441.48010992
01108a561,296288.59747194
0110cca98,1531864.79309727
011449698,1964591.56112439
0114795f0,2303888.08338955
011626c20,8883079.04932994
0117c8f27,992990.157515059
0117dcb47,842702.728256039
0118c34be,1331656.40817133
0119efcb9,2910570.62124786
011a58e13,2165419.2909571
011b7902b,5556605.30704296
011ca122e,4028761.63401796
012053244,1124936.48224436
0122a258e,1478838.08867873
0122a4305,1233164.98758666
01230d8ba,627755.190588472
012414f4e,3839630.5428807
012452125,1839919.75331243
0124529b5,560428.323778151
012556288,2865735.7295057
01257c24c,2181814.75390343
01258b972,1321926.7337465
0125b64db,2059717.94848092
01295ef92,2762289.80483652
012a2752f,2333339.37541359
012b6ba95,2416446.03471844
012b96b58,2501718.76018015
012e881b9,1507557.43390399
012f25e94,4097933.76499565
012fa70bb,1321437.69524715
01304fc0a,2492194.60967094
013230913,2206842.10235089
01336ceb8,1626629.56645386
0133b85e7,1893969.95199283
0136f8766,2288587.13587959
0137356b9,1899999.6847787
013750184,892831.316289502
013a3f07c,2472407.84639643
013cc1c13,1547772.04572553
013e96334,1416693.1860161
013fae0b1,1888017.39695186
014076343,2143721.92131744
0140ea0ba,2692617.51382672
0143ee127,704422.945063929
014461014,1664667.57698262
01446634f,649217.376510756
014729fb2,5720478.85812221
014749c88,2920734.62926251
014787fc1,2355251.15988387
014a6143c,1402692.0419165
014af25cd,1985726.95674706
014b5797e,5772189.00059108
014badcb1,1471599.53167558
014c523b1,9100083.1881962
