ID,target
000137c73,2580912.97722644
00021489f,1817797.12974635
0004d7953,2134424.12096878
00056a333,4939896.75873314
00056d8eb,1858498.43788431
0005fc190,2501387.04659378
000787e86,2403903.73187905
0008510a0,2422532.3602839
000895faf,2443552.42962198
000986fba,2639609.47876338
0009efcc5,1575771.50580761
000dd8f00,11634335.1471721
000e1cdc2,2354063.73190256
00103739c,2917179.10709936
00134b367,2670950.08169784
001788d0d,1696150.09169918
0019c8ad7,2592249.82142648
001a267b9,1044186.83998368
001a85486,2865756.4241728
001c4de06,2953529.33119933
001f9014b,2577588.94446757
00216fb94,3344151.40576279
00235690e,2118389.40936185
00240739d,8148973.67281742
0024c3747,2717045.65403129
00297052d,2885082.15488181
002ab8f85,1985588.01337459
002bed5c0,2304073.45012577
002bf3974,3712076.24772692
002d23a26,2096994.98125133
002f27de9,2580441.74796806
0030d8bb4,2239712.21741869
003146acd,1436116.59168149
003223263,1754326.94554804
00335575e,4045833.19417138
00337cf9d,2987393.14763373
003394397,2022246.95150719
0036358a3,2607566.29494722
003770d30,2090513.3087232
003bed5ea,1763239.87226165
003ea6427,2679765.57143616
003ef8132,5697315.03340676
003fd1723,3216879.7203662
0041861b4,825406.413177475
0042b718b,1989358.98939119
004381d8f,3055193.59886809
0043ca764,2490132.06950045
004486837,619543.384689797
0045c123e,3507021.10129718
0048915c6,3301815.40647818
004ab9a09,2958000.64161347
004b2e1c9,3033112.59128232
004c54732,1021182.90500933
004cdefce,6540262.27622661
004dd971b,5030526.2294696
004f9329b,2209303.11937922
004fd2bca,1475210.89520634
0054bfedb,1921075.78832273
0054ec58a,462728.62401944
00551f45d,13814106.4290118
005777b4c,2796242.99064998
00578d6ea,2373328.17762846
005802488,2136606.31359957
0059833b6,3485534.40661807
005a70085,2870224.1560166
005b148a0,2791673.6337449
005c28df4,3207285.20318954
005f8dc26,2498566.26065431
00603c202,4260754.48017081
006049609,2826122.70086509
00612f47e,726373.91859049
00647a57f,5414325.28831461
0065853ee,1774140.85635853
006589d5e,1051001.60458429
006598823,5526816.52157329
0065c093c,2473077.98996308
006738351,3095632.8310371
006a0c6a8,1706354.68583746
006e9efe6,3288918.94945355
006f029d3,2505880.65411559
0070f35a2,2443735.55924904
007135f85,4262366.46527801
007285433,13380066.3475216
00735e101,1546631.18044094
0074ecf4e,2248324.96918685
007635fa9,1587228.4532467
007723613,3904163.25425602
007867da9,716567.530331708
0078bfbd6,825502.04756951
0078ce229,517393.097209842
007a89d50,2911047.77243918
007d43dfa,2561826.06460505
007ee9e05,2314512.25341037
007ffeae2,2502295.38761256
00835c85c,2354917.1976534
0084b08f1,2840594.70435766
0087fb290,1538570.28087861
0088a96bd,1390852.65882432
008ac4292,2305650.1490457
008d8cca8,2221730.26458446
008e07b8c,1994851.1814343
008e5e25a,3118255.48272113
0094edcdb,1935934.78537842
00950141c,3053889.29012224
009566ef1,2734413.26158941
0095c81d4,2294963.23094086
0097a6ed4,3521121.27189817
0098fef9a,1500168.05412286
009b321ec,4658478.71940006
009cd681e,3397282.51266335
009f34f86,1904014.11852081
009f35cd3,2949797.74251152
009f65109,2489922.45281235
00a19014a,848025.164202019
00a27e76a,1150513.41508096
00a3b6ef7,2882454.52661893
00a427603,1633156.71285469
00a6dc8be,2646204.17860466
00a811734,10702033.6520747
00a8f58a7,7201808.92622157
00aaae151,2694442.19618447
00ab17f67,2747488.05246172
